child,range,verdict,diag,sessions,sufficiency,visibleOk
AAA1,one_day,FAIL,22,2,preliminary_signal,true
AAA2,one_day,PASS,9,1,preliminary_signal,true
AAA3,one_day,PASS,22,2,preliminary_signal,true
AAA4,one_day,PASS,16,1,preliminary_signal,true
AAA5,one_day,PASS,20,2,preliminary_signal,true
AAA6,one_day,PASS,16,1,preliminary_signal,true
AAA7,one_day,PASS,22,2,preliminary_signal,true
AAA8,one_day,PASS,16,1,preliminary_signal,true
AAA9,one_day,PASS,20,2,preliminary_signal,true
AAA10,one_day,PASS,16,1,preliminary_signal,true
AAA11,one_day,PASS,22,2,preliminary_signal,true
AAA12,one_day,FAIL,0,0,no_data,true
AAA1,one_week,FAIL,110,10,supported_diagnosis,true
AAA2,one_week,PASS,45,5,supported_diagnosis,true
AAA3,one_week,PASS,134,12,supported_diagnosis,true
AAA4,one_week,PASS,75,6,supported_diagnosis,true
AAA5,one_week,PASS,115,10,supported_diagnosis,true
AAA6,one_week,PASS,121,9,supported_diagnosis,true
AAA7,one_week,PASS,114,9,supported_diagnosis,true
AAA8,one_week,PASS,42,3,supported_diagnosis,true
AAA9,one_week,PASS,120,11,supported_diagnosis,true
AAA10,one_week,PASS,54,4,supported_diagnosis,true
AAA11,one_week,PASS,129,11,supported_diagnosis,true
AAA12,one_week,PASS,42,5,supported_diagnosis,true
AAA1,may_month,FAIL,468,35,supported_diagnosis,true
AAA2,may_month,FAIL,165,24,supported_diagnosis,true
AAA3,may_month,PASS,448,34,supported_diagnosis,true
AAA4,may_month,PASS,316,28,supported_diagnosis,true
AAA5,may_month,PASS,439,32,supported_diagnosis,true
AAA6,may_month,PASS,407,33,supported_diagnosis,true
AAA7,may_month,FAIL,533,42,supported_diagnosis,true
AAA8,may_month,PASS,149,18,supported_diagnosis,true
AAA9,may_month,PASS,525,47,supported_diagnosis,true
AAA10,may_month,PASS,427,33,supported_diagnosis,true
AAA11,may_month,PASS,556,45,supported_diagnosis,true
AAA12,may_month,PASS,168,17,supported_diagnosis,true
AAA1,full,FAIL,593,46,supported_diagnosis,true
AAA2,full,FAIL,225,30,supported_diagnosis,true
AAA3,full,PASS,582,46,supported_diagnosis,true
AAA4,full,PASS,391,34,supported_diagnosis,true
AAA5,full,PASS,570,43,supported_diagnosis,true
AAA6,full,PASS,550,44,supported_diagnosis,true
AAA7,full,FAIL,663,52,supported_diagnosis,true
AAA8,full,PASS,204,23,supported_diagnosis,true
AAA9,full,PASS,645,58,supported_diagnosis,true
AAA10,full,PASS,497,38,supported_diagnosis,true
AAA11,full,PASS,705,58,supported_diagnosis,true
AAA12,full,PASS,219,23,supported_diagnosis,true
