route,subject,surface,screenshot,pass,issue,suspectFile,id,label
"/learning/book/math/g1/ns_counting_forward","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-ns_counting_forward-mobile.png","PASS","","","book-math-g1-ns_counting_forward","ספר חשבון g1 ns_counting_forward"
"/learning/book/math/g1/ns_counting_backward","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-ns_counting_backward-mobile.png","PASS","","","book-math-g1-ns_counting_backward","ספר חשבון g1 ns_counting_backward"
"/learning/book/math/g1/ns_number_line","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-ns_number_line-mobile.png","PASS","","","book-math-g1-ns_number_line","ספר חשבון g1 ns_number_line"
"/learning/book/math/g1/ns_neighbors","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-ns_neighbors-mobile.png","PASS","","","book-math-g1-ns_neighbors","ספר חשבון g1 ns_neighbors"
"/learning/book/math/g1/cmp","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-cmp-mobile.png","PASS","","","book-math-g1-cmp","ספר חשבון g1 cmp"
"/learning/book/math/g1/ns_place_tens_units","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-ns_place_tens_units-mobile.png","PASS","","","book-math-g1-ns_place_tens_units","ספר חשבון g1 ns_place_tens_units"
"/learning/book/math/g1/ns_even_odd","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-ns_even_odd-mobile.png","PASS","","","book-math-g1-ns_even_odd","ספר חשבון g1 ns_even_odd"
"/learning/book/math/g1/ns_complement10","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-ns_complement10-mobile.png","PASS","","","book-math-g1-ns_complement10","ספר חשבון g1 ns_complement10"
"/learning/book/math/g1/add_second_decade","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-add_second_decade-mobile.png","PASS","","","book-math-g1-add_second_decade","ספר חשבון g1 add_second_decade"
"/learning/book/math/g1/add_tens_only","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-add_tens_only-mobile.png","PASS","","","book-math-g1-add_tens_only","ספר חשבון g1 add_tens_only"
"/learning/book/math/g1/add_two","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-add_two-mobile.png","PASS","","","book-math-g1-add_two","ספר חשבון g1 add_two"
"/learning/book/math/g1/sub_two","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-sub_two-mobile.png","PASS","","","book-math-g1-sub_two","ספר חשבון g1 sub_two"
"/learning/book/math/g1/mul","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g1-mul-mobile.png","PASS","","","book-math-g1-mul","ספר חשבון g1 mul"
"/learning/book/math/g2/ns_place_tens_units","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g2-ns_place_tens_units-mobile.png","PASS","","","book-math-g2-ns_place_tens_units","ספר חשבון g2 ns_place_tens_units"
"/learning/book/math/g2/ns_neighbors","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g2-ns_neighbors-mobile.png","PASS","","","book-math-g2-ns_neighbors","ספר חשבון g2 ns_neighbors"
"/learning/book/math/g2/ns_complement10","math","books-math","C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-broad-audit-screenshots/book-math-g2-ns_complement10-mobile.png","PASS","","","book-math-g2-ns_complement10","ספר חשבון g2 ns_complement10"
